jobtitle,company,jobindustry,salary,link,scraping_date,searchkeyword,responsibilities,requirements,skills_needed,job_id,employment,seniority,min_salary,max_salary,salarytype
Senior Data Analyst,GROUPM SINGAPORE PTE. LTD.,Advertising / Media ,"$3,600to$5,000",https://www.mycareersfuture.sg/job/senior-data-analyst-groupm-singapore-7eb6108ab4d3ca90ec3da9d2fba50328,24/4/19,data analyst,"Overview of job You will support senior colleagues in achieving the efficient delivery of econometric analysis. Typical responsibilities and duties are the preparation of data (cleaning and performing required ETL operations), contributing to the building and interpretation of models and helping to write results and implications. Reporting of the role This role reports to the Project Manager 3 best things about the job:  Be part of a dynamic team, responsible for harnessing the power of data and technology to provide timely, actionable business insights to our clients Be part of a global Centre of Excellence and work for clients across the globe Learn and develop yourself in cutting edge technologies and platforms in the field of data and analytics  Measures of success – In three months:  Undertake data extraction, manipulation, formatting and analysis Analyze datasets to ensure that each KPI is understood and can be explained back to the team. Ensure that all tables, charts and other information produced by you or others has been checked for accuracy and formatted to the standards before passing on to senior project team. Provide support to more senior colleagues in data collection including the preparation and sending of data requests, chasing outstanding data and querying data with clients and agencies. Help the broader team in writing intermediate presentation decks, like data validation.  In six months:  Assist in the building of comprehensive econometric models according to the project specification. Validate models, identify areas of weakness, suggest and test improvements and ensure robustness and validity. Help to run scenarios required to answer client objectives.  In 12 months:  Actively seek more efficient ways of doing things for yourself and others and turn suggestions into actions including in service and product development. Demonstrate flexibility and work across multiple clients and projects at a time as directed by your project manager  About Singapore  GroupM Singapore operates in one of the most dynamic and exciting environments in the world. Although it is a small domestic market, there is a vibrant media industry which is undergoing rapid evolution as digital technology reshapes the way marketing supports advertisers’ needs. Being at the crossroads of Asia means that aside from the local clients and media owners, we also have a high proportion of multi-national clients and media owners. As the largest media investment management company in Singapore with over 41% market share (Recma) and over 650 employees, GroupM Singapore is the premiere organisation to join and develop a career in.","Responsibilities of the role:  Essential skills, knowledge and experience:  Excellent knowledge of Excel, common econometrics packages and PowerPoint. Strong analytical skills; ability to analyze raw data, manipulate the same, draw conclusions, and develop actionable recommendations.  Desirable skills, knowledge and experience:  Experience manipulating and processing media and marketing data (i.e. GRPs, Impressions, Reach, Clicks) from a variety of sources. Skill in data visualization software such as Tableau, Datorama or Power BI etc. An advanced understanding of time-series econometric modelling. Knowledge in other relevant advanced software such as Access, VBA, Python (with pandas), SQL, R, SAS etc. Experience in the manipulation of Nielsen or IRI data ","['Public Relations', 'Social Media', 'Strategic Communications', 'Editing', 'Media Relations', 'Social Media Marketing', 'New Media', 'Online Marketing', 'Marketing Communications', 'Media Planning', 'Public Speaking', 'Strategy', 'Advertising', 'Blogging', 'Communications Planning', 'Digital Marketing', 'Journalism', 'Marketing', 'Marketing Strategy', 'Newsletters']", JOB-2019-0062306 ,Full Time,Senior Executive,3600,5000,Monthly
IT Executive (Data Analyst),SKY PREMIUM INTERNATIONAL PTE. LTD.,Information Technology,"$2,500to$4,000",https://www.mycareersfuture.sg/job/executive-sky-premium-international-cc0d50d8a4b022d32d053bc37e929e20,24/4/19,data analyst,"Sky Premium International is looking for IT Executives to be part of an dynamic team to plan, develope, execute and deliver compelling and innovative data-driven solutions and reports to imporve our business operations and facilitate decision-making. Responsibilites :  - To mine, analyse and report data from the company-owned systems and databases, to support and drive decision making in terms of product development and product marketing. - To design, develop, build, execute, train, test, validate and implement data and machine learning models, for production, testing, proof-of-concepts (POCs) as well as demonstration purposes. - To design, develop, test, validate and implement static reports as well as dynamic dashboards, for production and testing. - To collect, consolidate, clean-up, structure and/or process data from various disparate structured, unstructured and/or incomplete data sets and data sources. - To write complex queries and/or scripts to perform data aggregation, extraction, transformation and load (ETL). - To verify deliverables against the agreed qualities and standards as per the approved specifications. - To arrange, coordinate and conduct user acceptance testing (UATs) and user training sessions, with involved stakeholders and end-users, and follow-up on reported data models, dashboards and/or reports related issues closely. - To create, update and maintain proper specifications, such as functional, technical, report and/or database specifications."," & Pre-Requisite : - Minimum a Degree in IT or Computer Science, or equivalent. - At least 3-5 years of experience working with MS Excel, SQL Server, MYSQL and/or NOSQL databases and database visualization tools (e.g. Tableau), is a must. - At least 3-5 years of programming experience in C#, Python and/or, with TSQL is a must. Experience with AWS and/or AZURE is required. - Good understanding of both relational database as well as non-relation database designs and concepts. - Able to communicate effectively, analytical with good time management, problem-solving and documentation skills.      ","['Project Management', 'Management', 'IT Management', 'IT Service Management', 'Windows Server', 'Business Analysis', 'Active Directory', 'JavaScript', 'Servers', 'System Administration', 'ERP', 'ITIL', 'Leadership', 'Microsoft SQL Server', 'Networking', 'SQL', 'Technical Support', 'Vendor Management', 'CRM', 'Network Administration']", JOB-2019-0019774 ,Full Time,Executive,2500,4000,Monthly
"Senior Executive, Data Warehouse Management",Singapore Land Authority,Information Technology ...,"$3,500to$6,000",https://www.mycareersfuture.sg/job/senior-executive-data-warehouse-management-singapore-land-authority-9c3631ce818ba7dd2e59633eac22bec3,24/4/19,data analyst,"Senior Executive, Data Warehouse Management
Job scope:
Collaborate with various stakeholders such as business units, IT teams and vendors to:

define business requirements for the enterprise data warehouse.
identify and implement necessary changes to data, business processes and systems to achieve data harmonisation and consolidation.
develop and deploy the data warehouse solution.
seek visible ways (e.g. data analytics, data visualisation, applications) to apply or leverage data.

Requirements:

Experience in database development, administration and data management technologies.  Practical experience in database design, development and maintenance will be an added advantage.
Degree in Information Technology or Geographic Information Systems (GIS).
Keen interest in working with various types of land data such as land administration, planning, leasing and maintenance.
Team-player with good communication and interpersonal skills, as well as be able to work independently.
Comfortable to work independently in new areas. Pro-active, resourceful and able to suggest solutions.

 ",,"['Data Analysis', 'SQL', 'Microsoft Excel', 'Microsoft Office', 'Analysis', 'Databases', 'Business Analysis', 'Data Mining', 'Business Intelligence', 'Project Management', 'Statistics', 'SAS', 'Research', 'R', 'Access', 'Analytics', 'Management', 'PowerPoint', 'SPSS', 'Matlab']", JOB-2019-0062359 ,Full Time,Executive,3500,6000,Monthly
Data Analyst,Company Undisclosed,Information Technology,"$5,000to$6,000",https://www.mycareersfuture.sg/job/data-analyst-8f6024e972417458d53cc0cfccdb2b67,24/4/19,data analyst,"We are looking for a Data Analyst with minimum 5years of experience in Banking domain.   The successful candidate will be responsible for Global Banking(GB) and Commercial Banking(CB) Analytics, which will include data sourcing, data transformation, predictive modelling and creating Tableau dashboards.   KEY RESPONSIBILITIES    Create strong blending data capabilities within team so that we can come up with useful client information from data very quickly Engage with business stakeholders cross countries and gather requirement and liaise with ETL team to get the required data preparation. Promote analytics driven decision making processes across multiple segments/product portfolios Engage and execute the dashboards on Tableau or similar visualization tools Explore statistical and automation tools like R, SAS, Python for predictive and prescriptive analytics Engage relevant technology teams to embed advanced statistical tools Prepare and/or contribute to regular updates for various committees and governance forums Provide insights to senior management and the network based on MIS and analytics Highlight any perceived risks and early alerts to the management based on data analytics   Perform data validation and dashboard performance optimization       ","KEY RELATIONSHIPS    IMO Performance Improvement Team COBAM and CDD Central Team Technology / EDMp database team GB COO team GTO / Development Team    REQUIRED KNOWLEDGE, EXPERIENCE AND COMPETENCIES  A proven track record with 4 years or more of relevant analytics work experience and demonstrated career progression/increase in responsibilities Strong academic record: Degree in Finance, Statistics, Computer Science or related field Knowledge of either SAS, R or Python Strong understanding of Hadoop Database Strong Knowledge of Tableau or similar visualization tools Proficient in excel and SQL Knowledge of statistical modelling and machine learning will be an added plus Understanding of the ETL process Highly effective verbal and written English communication skills Good presentation, time management, negotiation and influencing skills Ability to influence without authority Strong analytical and problem solving skills Experience in project management from business requirement definition, solution validation, user testing, technical documentation and production roll out Ability to manage multiple work streams with strong problem solving and analytical skills Strong communication and presentation skills to varying levels of management ","['Financial Modeling', 'Analysis', 'Management', 'Financial Analysis', 'Microsoft Excel', 'Project Management', 'Microsoft Office', 'Data Analysis', 'Strategy', 'Valuation', 'Leadership', 'Business Analysis', 'Business Strategy', 'Corporate Finance', 'Investment Banking', 'Strategic Planning', 'Research', 'Investments', 'Process Improvement', 'Equities']", JOB-2019-0062391 ,Contract,Non-executive,5000,6000,Monthly
Office of Planning - Senior Data Strategist  /  Analyst (Data Analytics Unit),Republic Polytechnic,Education and Training ...,Salary undisclosed,https://www.mycareersfuture.sg/job/office-planning-senior-data-strategist-analyst-republic-polytechnic-dd7dc98558f8c4b4600572b84815d524,24/4/19,data analyst,"Job Description:
You will be part of a new Data Analytics (DA) Unit that is responsible to drive the following objectives:

Spearhead objectives of DA Unit in alignment to RP’s organisational mission.
Undertake DA projects of strategic importance leading to policy formulation/changes.
Provide advice and guidance to other departments to undertake DA projects.
Champion and promote the use of data analytics.
Work with internal and external technical teams to ensure usability and integrity of data for DA work.
May work in partnership with internal departments as well as other organisations on other DA projects.

As a Senior Data Strategist/Analyst, you will have the opportunity to:-

Formulate strategies to achieve objectives of DA Unit.
Translate business requirements and objectives into data models and effective implementation/ dashboard solutions.
Advise in the migration of existing excel-reports and design dashboards and reports using visualization tools such as Tableau.
Advise on the adoption of suitable machine learning, predictive models or other relevant techniques on a variety of data to derive meaningful statistics, uncover new actionable insights and predictive analytics.
Promote understanding of the ecosystem of Data Science/ Big Data tools including data extraction and transformation.
Advise in the planning, development and delivery of solutions.
Recommend and communicate data-driven findings to both technical and non-technical stakeholders.

 
Requirements:

3-5 years of experience in work involving the analysis of data to refine policies, strategies and operations.
Previous experience in data visualisation, machine learning, statistical analysis work preferred.
Experience in spearheading initiatives in an equivalent DA Unit preferred.
Experience in Education organisations or Institutes of Higher Learning will be advantageous.
Excellent people skills — you’ll be meeting with stakeholders to translate business needs into technical requirements.
Strong attention to detail, time management skills and ability to work under pressure.
Ability to use programming languages such as R / Python / SQL and associated data analytics libraries for data preparation and analysis.
Experience in working with data visualisation tools such as Qliksense, Tableau to enhance a data narrative, create insightful visualisation and analytics.
Able to use SQL for data extraction from existing IT systems.
Qualification in Mathematics, Computer science, Engineering, or any related disciplines.
Show fair knowledge in relevant hardware/software products.
",,"['Financial Modeling', 'Analysis', 'Management', 'Financial Analysis', 'Microsoft Excel', 'Project Management', 'Microsoft Office', 'Data Analysis', 'Strategy', 'Valuation', 'Leadership', 'Business Analysis', 'Business Strategy', 'Corporate Finance', 'Investment Banking', 'Strategic Planning', 'Research', 'Investments', 'Process Improvement', 'Equities']", JOB-2019-0047296 ,Full Time,,,,
"Product Analyst (Data), National Digital Identity NDI – Trusted Data",GOVERNMENT TECHNOLOGY AGENCY,Information Technology ...,"$5,000to$6,000",https://www.mycareersfuture.sg/job/product-analyst-national-digital-identity-ndi-%E2%80%93-trusted-data-government-technology-agency-e39e566b645d11b9654eea260f57a896,24/4/19,data analyst,"You will be part of the project team to take on the exciting and challenging role to work with data to empower NDI projects. Your role would require you to be the domain expert on individual and corporate data, leading the engagement and technical efforts to bring in data necessary to support NDI projects and related initiatives.  What to Expect:   Engage and work with internal product team to understand their business requirements and how data can support services of commercial and government parties.   Have a good mix of business and technical knowledge to lead the engagement with stakeholders to request for their data. Able to clearly articulate business cases with good technical know-how to get stakeholders on-board the project.    Lead the technical implementation required to interface stakeholders’ data to NDI systems. You will also have to work with the technical team to develop technical specifications for data interfaces and lead the UAT efforts.   Work closely with stakeholders to solve data cleanliness issues.    Be the domain expert in data.    How to Succeed:   Degree in Business Analytics, Computer / Computer Science, Electronics and Computer Engineering, Information Technology or equivalent.   Interest in working with data.   Technical expertise to lead in technical integration for data sharing.    Independent with strong problem solving skills, able to work under tight deadlines and stress.   ",,"['Business Analysis', 'Project Management', 'Management', 'Requirements Analysis', 'Analysis', 'Process Improvement', 'Requirements Gathering', 'SDLC', 'Strategy', 'Business Process', 'Business Strategy', 'Leadership', 'Business Process Improvement', 'SQL', 'Business Intelligence', 'Data Analysis', 'Change Management', 'Microsoft Office', 'Management Consulting', 'Program Management']", JOB-2019-0042625 ,Full Time,Middle Management,5000,6000,Monthly
Business Analyst (Data Analytics),GOVERNMENT TECHNOLOGY AGENCY,Information Technology ...,"$5,000to$9,000",https://www.mycareersfuture.sg/job/business-analyst-government-technology-agency-aa6ae31e2c948165269b7ad64ebf9c17,24/4/19,data analyst,"  We are looking for Business Analysts (Data Analytics) who’s interested in using data to help the government design solutions that address its policy and business problems, and stay close to the needs of the general public. The applicant will be responsible for demonstrating how better use of data can help recommend new policies, streamline operations or bring more customised solutions for citizens. He/ She should have some training and working experiences on data analytics, and should be comfortable with hands-on data manipulation, data modelling and data visualisation.   What to Expect:   Provide data analytics consulting services to the government agencies, including data analytics planning and strategy – perform data analytics visioning and road-mapping, business case development, implementation planning, organisational planning, budget and risk management planning Work closely with stakeholders to understand their needs/ pain points, scope the problem and develop business case on how to turn data into critical information and knowledge that can be used for policy making, streamlining operations or developing solutions for citizens. Advise stakeholders on the key ICT trends and best practices in data analytics, assess applicability for adoption and recommend solution that best fits stakeholders’ needs Perform data cleaning, pre-processing and feature engineering that facilitate meaningful analysis Work closely with data scientists to mine insights from structured and unstructured data and to resolve complex statistical modelling problems to answer pertinent business questions. Design dashboards and interactive visualisation as tools for data exploration as well as for storytelling. Present analytics insights to business users and stakeholders Work with stakeholders to ensure smooth deployment and adoption of new solution   How to Succeed:   Degree/Master in any discipline that would equip the candidate with the necessary skills to come up with strategic solutions for IT projects Minimum 3 years of relevant working experience Ability to take a broad, strategic perspective as well as drill deep to understand business needs and challenges Understand key concepts, techniques and considerations in Machine learning and Data analytics Training and relevant experience in one or more of the following areas:  Statistical modelling tools such as: R, Python, RapidMiner, Knime, SAS, Matlab or SPSS Data manipulation using scripting languages like Python or using ETL tools Visual analytics technologies like Tableau, Qlikview or D3.js End-to-end analytics architecture, preferably with some working knowledge of big data stack   Excellent communications skills, both oral and written, with ability to pitch ideas and influence stakeholders Strong analytical, conceptualisation and problem solving skills Team player with strong organisation and people handling skills Passion for the use of analytics and data to improve public service    ",,"['Business Analysis', 'Project Management', 'Management', 'Requirements Analysis', 'Analysis', 'Process Improvement', 'Requirements Gathering', 'SDLC', 'Strategy', 'Business Process', 'Business Strategy', 'Leadership', 'Business Process Improvement', 'SQL', 'Business Intelligence', 'Data Analysis', 'Change Management', 'Microsoft Office', 'Management Consulting', 'Program Management']", JOB-2019-0029542 ,Full Time,Middle Management,5000,9000,Monthly
Business Analyst (Data Analytics),GOVERNMENT TECHNOLOGY AGENCY,Information Technology ...,Salary undisclosed,https://www.mycareersfuture.sg/job/business-analyst-government-technology-agency-9e6bb89686d7ae65bd6554890fd0ea0d,24/4/19,data analyst,"BAF (Data Analytics) We are looking for Business Analysts (Data Analytics) who's interested in using data to help the government design solutions that address its policy and business problems, and stay close to the needs of the general public.  The applicant will be responsible for demonstrating how better use of data can help recommend new policies, streamline operations or bring more customised solutions for citizens. He/she should have some training and working experiences on data analytics, and should be comfortable with hands-on data manipulation, data modelling and data visualisation.   What to Expect:  Provide data analytics consulting services to the government agencies, including data analytics planning and strategy – perform data analytics visioning and road-mapping, business case development, implementation planning, organisational planning, budget and risk management planning Work closely with stakeholders to understand their needs/pain points, scope the problem and develop business case on how to turn data into critical information and knowledge that can be used for policy making, streamlining operations or developing solutions for citizens.   Advise stakeholders on the key ICT trends and best practices in data analytics, assess applicability for adoption and recommend solution that best fits stakeholders’ needs Perform data cleaning, pre-processing and feature engineering that facilitate meaningful analysis Work closely with data scientists to mine insights from structured and unstructured data and to resolve complex statistical modelling problems to answer pertinent business questions.  Design dashboards and interactive visualization as tools for data exploration as well as for storytelling.  Present analytics insights to business users and stakeholders Work with stakeholders to ensure smooth deployment and adoption of new solution  How to Succeed:  Degree/Master in any discipline; Diploma graduates with relevant experience will also be considered. Minimum 3 years of relevant working experience Ability to take a broad, strategic perspective as well as drill deep to understand business needs and challenges Understand key concepts, techniques and considerations in Machine learning and Data analytics Training and relevant experience in one or more of the following areas:   Statistical modelling tools such as: R, Python, RapidMiner, Knime, SAS, Matlab or SPSS Data manipulation using scripting languages like Python or using ETL tools Visual analytics technologies like Tableau, Qlikview or D3.js End-to-end analytics architecture, preferably with some working knowledge of big data stack   Excellent communication skills, both oral and written, with ability to pitch ideas and influence stakeholders Strong analytical, conceptualisation and problem solving skills Team player with strong organization and people handling skills Passion for the use of analytics and data to improve public service ",,"['Business Analysis', 'Project Management', 'Management', 'Requirements Analysis', 'Analysis', 'Process Improvement', 'Requirements Gathering', 'SDLC', 'Strategy', 'Business Process', 'Business Strategy', 'Leadership', 'Business Process Improvement', 'SQL', 'Business Intelligence', 'Data Analysis', 'Change Management', 'Microsoft Office', 'Management Consulting', 'Program Management']", JOB-2018-0124564 ,Full Time,Professional,,,
Research Scientist,WILMAR INTERNATIONAL LIMITED,Sciences / Laboratory / R&D,"$4,500to$8,000",https://www.mycareersfuture.sg/job/research-scientist-wilmar-international-63d6f23f87c7dfced68f5c9648390a54,24/4/19,research scientist," Design and conduct experiments independently;  Process and analyse results;  Write reports, patent applications, research papers and proposals;  Make presentations on research background, methodology and work progress;  Collaborate with Wilmar-related companies to apply research findings and develop new techniques and products;  Maintain laboratory safety "," A Ph.D. degree in protein engineering, chemical engineering or materials; Knowledge and experience in protein hydrolysis and product analysis, and/or material characterization Ability to work on interdisciplinary topics and interact efficiently in a culturally diverse setting Excellent written and oral communication skills Creative, innovative and team-working spirit ","['Algorithms', 'Machine Learning', 'Matlab', 'Research', 'Computer Science', 'R&D', 'Data Mining', 'LaTeX', 'C++', 'Molecular Biology', 'Python', 'Biotechnology', 'Science', 'Lifesciences', 'Artificial Intelligence', 'Statistics', 'Pattern Recognition', 'C', 'Simulations', 'Image Processing']", JOB-2019-0087147 ,Full Time,Senior Executive,4500,8000,Monthly
"Research Scientist (contract till 31 May 2020), School of Information Systems",SINGAPORE MANAGEMENT UNIVERSITY,Education and Training,"$5,000to$5,500",https://www.mycareersfuture.sg/job/research-scientist-school-information-systems-singapore-management-university-ea48fd753be1e4afa059c1a6fc2f608a,24/4/19,research scientist," COMPANY DESCRIPTION  Singapore Management University is a place where high-level professionalism blends together with a healthy informality. The 'family-like' atmosphere among the SMU community fosters a culture where employees work, plan, organise and play together – building a strong collegiality and morale within the university.Our commitment to attract and retain talent is ongoing. We offer attractive benefits and welfare, competitive compensation packages, and generous professional development opportunities – all to meet the work-life needs of our staff. No wonder, then, that SMU continues to be given numerous awards and recognition for its human resource excellence.  RESPONSIBILITIES   Survey best applicable runtime verification techniques for Solidity programs Design and implement code instrumentation approach to realize runtime verification for Solidity Evaluate the implementation with real-world programs "," Minimum PhD degree in Computer Science, Information Technology, Information Systems or closely related disciplines from a reputable institution of higher learning Minimum 5 years of relevant research experience in formal methods, program analysis or similar topics Basic knowledge/Proficiency in programming software/languages such as Java and Solidity will be positively considered/ is required Demonstrated experience and know-how on publishing at top conferences Excellent working knowledge of basic program analysis methods Good analytical, technical and problem solving skills Self-motivated individual who can work independently and also collaboratively with team members ","['Algorithms', 'Machine Learning', 'Matlab', 'Research', 'Computer Science', 'R&D', 'Data Mining', 'LaTeX', 'C++', 'Molecular Biology', 'Python', 'Biotechnology', 'Science', 'Lifesciences', 'Artificial Intelligence', 'Statistics', 'Pattern Recognition', 'C', 'Simulations', 'Image Processing']",via Recruiter,Contract,Middle Management,5000,5500,Monthly
Research Scientist,NATIONAL UNIVERSITY OF SINGAPORE,Sciences / Laboratory / R&D,"$5,000to$6,500",https://www.mycareersfuture.sg/job/research-scientist-national-university-singapore-f708581b15bdac35b9ece2ebf9ad7c23,24/4/19,research scientist,"A successful candidate is required to be engaged in the research and development activities contributing to flight control and fault tolerant control project. In the algorithms development, the candidate will work on the design and development of flight control and fault tolerant control algorithms. Coding in C/++ and Matlab is required for UAV control logic and algorithm implementation. In the system integration, the candidate will be engaged in software modules integration and algorithm/platform testing.   ","We invite a motivated and creative researcher with the relevant qualifications and experience to join us as a Research Scientist. The qualification and requirements are as follows:  PhD Degree in electronics engineering, computer science, control engineering, computer engineering, mechatronics, mechanical engineering or related fields. Good knowledge of flight control theory Good knowledge of software development of PX4 autopilot. Good knowledge of fault tolerant control Good knowledge of C/C++ and Matlab. Good knowledge of physical system dynamics, mechatronics, systems identification, estimation and control theory. Much hands-on project experience in designing, developing, building and testing robot and control systems. Much hands-on project experience in conversional platforms. ","['Algorithms', 'Machine Learning', 'Matlab', 'Research', 'Computer Science', 'R&D', 'Data Mining', 'LaTeX', 'C++', 'Molecular Biology', 'Python', 'Biotechnology', 'Science', 'Lifesciences', 'Artificial Intelligence', 'Statistics', 'Pattern Recognition', 'C', 'Simulations', 'Image Processing']", JOB-2019-0085570 ,Contract,Fresh/entry level,5000,6500,Monthly
"Research Engineer (Visual Intelligence), I2R / A*STAR",A*STAR RESEARCH ENTITIES,Sciences / Laboratory / R&D,"$2,500to$5,000",https://www.mycareersfuture.sg/job/research-engineer-i2r-astar-astar-research-entities-80a9f1a2cef902129055b7c7472e63ec,24/4/19,research scientist,"About the Institute for Infocomm Research (I²R) The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visit www.i2r.a-star.edu.sg The department of Image and Video Analytics of Institute for Infocomm Research (I2R), A*STAR, is looking for talented candidates to join our multi-disciplinary team in the development of an automated aircraft inspection system. As part of the Aerospace Industry Transformation Map (ITM), the project looks into how automation, image analytics, robotics and artificial intelligence can improve the productivity of the manual aircraft inspection process. We are looking for candidates with passion in research and development, as well as translating R&D technology into industry applications. Successful candidate will be required to work with a team of research scientist, engineers in robotics, vision, machine learning and human-computer interaction.         ","    Minimum Bachelor degree in Computer Science or related fields   Possess strong programming skills in C++, C#, Python   Experience and knowledge in OpenCV/ROS/Unity3D/ UnrealEngine/ CUDA, MATLAB, computer vision, image/ video processing and machine learning is a plus   The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.","['Matlab', 'Algorithms', 'C++', 'Machine Learning', 'C', 'Python', 'Java', 'Simulations', 'Linux', 'Software Engineering', 'Programming', 'R&D', 'Computer Science', 'LaTeX', 'Engineering', 'Image Processing', 'Signal Processing', 'Software Development', 'Data Mining', 'Research']", JOB-2019-0085564 ,"Contract, Full Time",Professional,2500,5000,Monthly
"Research Scientist (1-year contract),  Living Analytics Research Centre",SINGAPORE MANAGEMENT UNIVERSITY,Education and Training,"$4,000to$8,000",https://www.mycareersfuture.sg/job/research-scientist-living-analytics-research-centre-singapore-management-university-0fae4d19f0257a0a83a9e58b33d8077f,24/4/19,research scientist," COMPANY DESCRIPTION  Singapore Management University is a place where high-level professionalism blends together with a healthy informality. The 'family-like' atmosphere among the SMU community fosters a culture where employees work, plan, organise and play together – building a strong collegiality and morale within the university.Our commitment to attract and retain talent is ongoing. We offer attractive benefits and welfare, competitive compensation packages, and generous professional development opportunities – all to meet the work-life needs of our staff. No wonder, then, that SMU continues to be given numerous awards and recognition for its human resource excellence.  RESPONSIBILITIES  The Living Analytics Research Centre (LARC) is a joint research initiative between Singapore Management University (SMU) and Carnegie Mellon University (CMU) that focuses on behavioural and social network analytics in the fields of Urban and Community Liveability, Personalised Urban Mobility, Jobs and Skills Intelligence, as well as Smart Consumption and Healthy Lifestyle. In line with Singapore’s Smart Nation goal, one of LARC’s objectives will be to harness technology to its fullest potential with the aim of improving the lives of Citizens and creating more opportunities. Candidates who join us can also expect to gain a deeper knowledge in the following areas: Big Data Analytics, Data Mining, Machine Learning, Deep Learning and other relevant disciplines. The Research Scientist will work with faculty researchers on one or more of the following research topics in the urban/social computing, smart cities and consumer business domains.  Data and Text Mining Machine Learning Deep Learning Crowdsourcing Recommender Systems Social-Urban Sensing Big Data Infrastructure    The Research Scientist will also be responsible for one or more the following:  Designing research methodologies Developing algorithms and models Conducting data science studies Designing and conducting experiments Designing and implementing applications, tools and systems Developing analytics capabilities in big data infrastructure   "," PhD in Computer Science and related disciplines Good knowledge in relevant research topics and related research skills Proficient in at least one or more of these programming languages: Java, Python, C#, C++ and C  #LI-JN1","['Algorithms', 'Machine Learning', 'Matlab', 'Research', 'Computer Science', 'R&D', 'Data Mining', 'LaTeX', 'C++', 'Molecular Biology', 'Python', 'Biotechnology', 'Science', 'Lifesciences', 'Artificial Intelligence', 'Statistics', 'Pattern Recognition', 'C', 'Simulations', 'Image Processing']",via Recruiter,Contract,Middle Management,4000,8000,Monthly
"Research Scientist (1-year contract),  Living Analytics Research Centre",SINGAPORE MANAGEMENT UNIVERSITY,Education and Training,"$4,000to$8,000",https://www.mycareersfuture.sg/job/research-scientist-living-analytics-research-centre-singapore-management-university-57f8ef797d1608e1d82e0079ecef3290,24/4/19,research scientist," COMPANY DESCRIPTION  Singapore Management University is a place where high-level professionalism blends together with a healthy informality. The 'family-like' atmosphere among the SMU community fosters a culture where employees work, plan, organise and play together – building a strong collegiality and morale within the university.Our commitment to attract and retain talent is ongoing. We offer attractive benefits and welfare, competitive compensation packages, and generous professional development opportunities – all to meet the work-life needs of our staff. No wonder, then, that SMU continues to be given numerous awards and recognition for its human resource excellence.  RESPONSIBILITIES  The Living Analytics Research Centre (LARC) is a joint research initiative between Singapore Management University (SMU) and Carnegie Mellon University (CMU) that focuses on behavioural and social network analytics in the fields of Urban and Community Liveability, Personalised Urban Mobility, Jobs and Skills Intelligence, as well as Smart Consumption and Healthy Lifestyle. In line with Singapore’s Smart Nation goal, one of LARC’s objectives will be to harness technology to its fullest potential with the aim of improving the lives of Citizens and creating more opportunities. Candidates who join us can also expect to gain a deeper knowledge in the following areas: Big Data Analytics, Data Mining, Machine Learning, Deep Learning and other relevant disciplines. The Research Scientist will work with faculty researchers on one or more of the following research topics in the urban/social computing, smart cities and consumer business domains.  Data and Text Mining Machine Learning Deep Learning Crowdsourcing Recommender Systems Social-Urban Sensing Big Data Infrastructure    The Research Scientist will also be responsible for one or more the following:  Designing research methodologies Developing algorithms and models Conducting data science studies Designing and conducting experiments Designing and implementing applications, tools and systems Developing analytics capabilities in big data infrastructure   "," PhD in Computer Science and related disciplines Good knowledge in relevant research topics and related research skills Proficient in at least one or more of these programming languages: Java, Python, C#, C++ and C   ","['Algorithms', 'Machine Learning', 'Matlab', 'Research', 'Computer Science', 'R&D', 'Data Mining', 'LaTeX', 'C++', 'Molecular Biology', 'Python', 'Biotechnology', 'Science', 'Lifesciences', 'Artificial Intelligence', 'Statistics', 'Pattern Recognition', 'C', 'Simulations', 'Image Processing']",via Recruiter,Contract,Middle Management,4000,8000,Monthly
